峡,403,9,7,キョウ,
挟,404,9,7,キョウ,はさ:む・はさ:まる
狭,405,9,7,キョウ,せま:い・せば:める・せば:まる
恐,406,10,7,キョウ,おそ:れる・おそ:ろしい
恭,407,10,7,キョウ,うやうや:しい
胸,408,10,6,キョウ,むね・むな
脅,409,10,7,キョウ,おびや:かす・おど:す・おど:かす
強,410,11,2,キョウ・ゴウ,つよ:い・つよ:まる・つよ:める・し:いる
教,411,11,2,キョウ,おし:える・おそ:わる
郷,412,11,6,キョウ・ゴウ,
境,413,14,5,キョウ・ケイ,さかい
橋,414,16,3,キョウ,はし
矯,415,17,7,キョウ,た:める
鏡,416,19,4,キョウ,かがみ
競,417,20,4,キョウ・ケイ,きそ:う・せ:る
響,418,20,7,キョウ,ひび:く
驚,419,22,7,キョウ,おどろ:く・おどろ:かす
仰,420,6,7,ギョウ・コウ,あお:ぐ・おお:せ
暁,421,12,7,ギョウ,あかつき
業,422,13,3,ギョウ・ゴウ,わざ
凝,423,16,7,ギョウ,こ:る・こ:らす
曲,424,6,3,キョク,ま:がる・ま:げる
局,425,7,3,キョク,
極,426,12,4,キョク・ゴク,きわ:める・きわ:まる・きわ:み
玉,427,5,1,ギョク,たま
巾,428,3,7,キン,
斤,429,4,7,キン,
均,430,7,5,キン,
近,431,7,2,キン,ちか:い
金,432,8,1,キン・コン,かね・かな
菌,433,11,7,キン,
勤,434,12,6,キン・ゴン,つと:める・つと:まる
琴,435,12,7,キン,こと
筋,436,12,6,キン,すじ
僅,437,13,7,キン,わず:か
禁,438,13,5,キン,
緊,439,15,7,キン,
錦,440,16,7,キン,にしき
謹,441,17,7,キン,つつし:む
襟,442,18,7,キン,えり
吟,443,7,7,ギン,
銀,444,14,3,ギン,
区,445,4,3,ク,
句,446,5,5,ク,
苦,447,8,3,ク,くる:しい・くる:しむ・くる:しめる・にが:い・にが:る
駆,448,14,7,ク,か:ける・か:る
具,449,8,3,グ,
惧,450,11,7,グ,
愚,451,13,7,グ,おろ:か
空,452,8,1,クウ,そら・あ:く・あ:ける・から
偶,453,11,7,グウ,
遇,454,12,7,グウ,
隅,455,12,7,グウ,すみ
串,456,7,7,,くし
屈,457,8,7,クツ,
掘,458,11,7,クツ,ほ:る
窟,459,13,7,クツ,
熊,460,14,4,,くま
繰,461,19,7,,く:る
君,462,7,3,クン,きみ
訓,463,10,4,クン,
勲,464,15,7,クン,
薫,465,16,7,クン,かお:る
軍,466,9,4,グン,
郡,467,10,4,グン,
群,468,13,4,グン,む:れる・む:れ・むら
兄,469,5,2,ケイ・キョウ,あに
刑,470,6,7,ケイ,
形,471,7,2,ケイ・ギョウ,かた・かたち
系,472,7,6,ケイ,
径,473,8,4,ケイ,
茎,474,8,7,ケイ,くき
係,475,9,3,ケイ,かか:る・かかり
型,476,9,5,ケイ,かた
契,477,9,7,ケイ,ちぎ:る
計,478,9,2,ケイ,はか:る・はか:らう
恵,479,10,7,ケイ・エ,めぐ:む
啓,480,11,7,ケイ,
掲,481,11,7,ケイ,かか:げる
渓,482,11,7,ケイ,
経,483,11,5,ケイ・キョウ,へ:る
蛍,484,11,7,ケイ,ほたる
敬,485,12,6,ケイ,うやま:う
景,486,12,4,ケイ,
軽,487,12,3,ケイ,かる:い・かろ:やか
傾,488,13,7,ケイ,かたむ:く・かたむ:ける
携,489,13,7,ケイ,たずさ:える・たずさ:わる
継,490,13,7,ケイ,つ:ぐ
詣,491,13,7,ケイ,もう:でる
慶,492,15,7,ケイ,
憬,493,15,7,ケイ,
稽,494,15,7,ケイ,
憩,495,16,7,ケイ,いこ:い・いこ:う
警,496,19,6,ケイ,
鶏,497,19,7,ケイ,にわとり
芸,498,7,4,ゲイ,
迎,499,7,7,ゲイ,むか:える
鯨,500,19,7,ゲイ,くじら
隙,501,13,7,ゲキ,すき
劇,502,15,6,ゲキ,
撃,503,15,7,ゲキ,う:つ
激,504,16,6,ゲキ,はげ:しい
桁,505,10,7,,けた
欠,506,4,4,ケツ,か:ける・か:く
穴,507,5,6,ケツ,あな
血,508,6,3,ケツ,ち
決,509,7,3,ケツ,き:める・き:まる
結,510,12,4,ケツ,むす:ぶ・ゆ:う・ゆ:わえる
傑,511,13,7,ケツ,
潔,512,15,5,ケツ,いさぎよ:い
月,513,4,1,ゲツ・ガツ,つき
犬,514,4,1,ケン,いぬ
件,515,6,5,ケン,
見,516,7,1,ケン,み:る・み:える・み:せる
券,517,8,6,ケン,
肩,518,8,7,ケン,かた
建,519,9,4,ケン・コン,た:てる・た:つ
研,520,9,3,ケン,と:ぐ
県,521,9,3,ケン,
倹,522,10,7,ケン,
兼,523,10,7,ケン,か:ねる
剣,524,10,7,ケン,つるぎ
拳,525,10,7,ケン,こぶし
軒,526,10,7,ケン,のき
健,527,11,4,ケン,すこ:やか
険,528,11,5,ケン,けわ:しい
圏,529,12,7,ケン,
堅,530,12,7,ケン,かた:い
検,531,12,5,ケン,
嫌,532,13,7,ケン・ゲン,きら:う・いや
献,533,13,7,ケン・コン,
絹,534,13,6,ケン,きぬ
遣,535,13,7,ケン,つか:う・つか:わす
権,536,15,6,ケン・ゴン,
憲,537,16,6,ケン,
賢,538,16,7,ケン,かしこ:い
謙,539,17,7,ケン,
鍵,540,17,7,ケン,かぎ
繭,541,18,7,ケン,まゆ
顕,542,18,7,ケン,
験,543,18,4,ケン・ゲン,
懸,544,20,7,ケン・ケ,か:ける・か:かる
元,545,4,2,ゲン・ガン,もと
幻,546,4,7,ゲン,まぼろし
玄,547,5,7,ゲン,
言,548,7,2,ゲン・ゴン,い:う・こと
弦,549,8,7,ゲン,つる
限,550,9,5,ゲン,かぎ:る
原,551,10,2,ゲン,はら
現,552,11,5,ゲン,あらわ:れる・あらわ:す
舷,553,11,7,ゲン,
減,554,12,5,ゲン,へ:る・へ:らす
源,555,13,6,ゲン,みなもと
厳,556,17,6,ゲン・ゴン,おごそ:か・きび:しい
己,557,3,6,コ・キ,おのれ
戸,558,4,2,コ,と
古,559,5,2,コ,ふる:い・ふる:す
呼,560,8,6,コ,よ:ぶ
固,561,8,4,コ,かた:める・かた:まる・かた:い
股,562,8,7,コ,また
虎,563,8,7,コ,とら
孤,564,9,7,コ,
弧,565,9,7,コ,
故,566,9,5,コ,ゆえ
枯,567,9,7,コ,か:れる・か:らす
個,568,10,5,コ,
庫,569,10,3,コ・ク,
湖,570,12,3,コ,みずうみ
雇,571,12,7,コ,やと:う
誇,572,13,7,コ,ほこ:る
鼓,573,13,7,コ,つづみ
錮,574,16,7,コ,
顧,575,21,7,コ,かえり:みる
五,576,4,1,ゴ,いつ・いつ:つ
互,577,4,7,ゴ,たが:い
午,578,4,2,ゴ,
呉,579,7,7,ゴ,
後,580,9,2,ゴ・コウ,のち・うし:ろ・あと・おく:れる
娯,581,10,7,ゴ,
悟,582,10,7,ゴ,さと:る
碁,583,13,7,ゴ,
語,584,14,2,ゴ,かた:る・かた:らう
誤,585,14,6,ゴ,あやま:る
護,586,20,5,ゴ,
口,587,3,1,コウ・ク,くち
工,588,3,2,コウ・ク,
公,589,4,2,コウ,おおやけ
勾,590,4,7,コウ,
孔,591,4,7,コウ,
功,592,5,4,コウ・ク,
巧,593,5,7,コウ,たく:み
広,594,5,2,コウ,ひろ:い・ひろ:まる・ひろ:める・ひろ:がる・ひろ:げる
甲,595,5,7,コウ・カン,
交,596,6,2,コウ,まじ:わる・まじ:える・ま:じる・ま:ざる・ま:ぜる・か:う・か:わす
光,597,6,2,コウ,ひか:る・ひかり
向,598,6,3,コウ,む:く・む:ける・む:かう・む:こう
后,599,6,6,コウ,
好,600,6,4,コウ,この:む・す:く
江,601,6,7,コウ,え
考,602,6,2,コウ,かんが:える
行,603,6,2,コウ・ギョウ・アン,い:く・ゆ:く・おこな:う
坑,604,7,7,コウ,
孝,605,7,6,コウ,
抗,606,7,7,コウ,
攻,607,7,7,コウ,せ:める
更,608,7,7,コウ,さら・ふ:ける・ふ:かす
効,609,8,5,コウ,き:く
幸,610,8,3,コウ,さいわ:い・さち・しあわ:せ
拘,611,8,7,コウ,
肯,612,8,7,コウ,
侯,613,9,7,コウ,
厚,614,9,5,コウ,あつ:い
恒,615,9,7,コウ,
洪,616,9,7,コウ,
皇,617,9,6,コウ・オウ,
紅,618,9,6,コウ・ク,べに・くれない
荒,619,9,7,コウ,あら:い・あ:れる・あ:らす
郊,620,9,7,コウ,
香,621,9,4,コウ・キョウ,か・かお:り・かお:る
候,622,10,4,コウ,そうろう
校,623,10,1,コウ,
耕,624,10,5,コウ,たがや:す
航,625,10,5,コウ,
貢,626,10,7,コウ・ク,みつ:ぐ
降,627,10,6,コウ,お:りる・お:ろす・ふ:る
高,628,10,2,コウ,たか:い・たか・たか:まる・たか:める
康,629,11,4,コウ,
控,630,11,7,コウ,ひか:える
梗,631,11,7,コウ,
黄,632,11,2,コウ・オウ,き・こ
喉,633,12,7,コウ,のど
慌,634,12,7,コウ,あわ:てる・あわ:ただしい
港,635,12,3,コウ,みなと
硬,636,12,7,コウ,かた:い
絞,637,12,7,コウ,しぼ:る・し:める・し:まる
項,638,12,7,コウ,
溝,639,13,7,コウ,みぞ
鉱,640,13,5,コウ,
構,641,14,5,コウ,かま:える・かま:う
綱,642,14,7,コウ,つな
酵,643,14,7,コウ,
稿,644,15,7,コウ,
興,645,16,5,コウ・キョウ,おこ:る・おこ:す
衡,646,16,7,コウ,
鋼,647,16,6,コウ,はがね
講,648,17,5,コウ,
購,649,17,7,コウ,
乞,650,3,7,,こ:う
号,651,5,3,ゴウ,
合,652,6,2,ゴウ・ガッ・カッ,あ:う・あ:わす・あ:わせる
拷,653,9,7,ゴウ,
剛,654,10,7,ゴウ,
傲,655,13,7,ゴウ,
豪,656,14,7,ゴウ,
克,657,7,7,コク,
告,658,7,5,コク,つ:げる
谷,659,7,2,コク,たに
刻,660,8,6,コク,きざ:む
国,661,8,2,コク,くに
黒,662,11,2,コク,くろ・くろ:い
穀,663,14,6,コク,
酷,664,14,7,コク,
獄,665,14,7,ゴク,
骨,666,10,6,コツ,ほね
駒,667,15,7,,こま
込,668,5,7,,こ:む・こ:める
頃,669,11,7,,ころ
今,670,4,2,コン・キン,いま
困,671,7,6,コン,こま:る
昆,672,8,7,コン,
恨,673,9,7,コン,うら:む・うら:めしい
根,674,10,3,コン,ね
婚,675,11,7,コン,
混,676,11,5,コン,ま:じる・ま:ざる・ま:ぜる・こ:む
痕,677,11,7,コン,あと
紺,678,11,7,コン,
魂,679,14,7,コン,たましい
墾,680,16,7,コン,
懇,681,17,7,コン,ねんご:ろ
左,682,5,1,サ,ひだり
佐,683,7,4,サ,
沙,684,7,7,サ,
査,685,9,5,サ,
砂,686,9,6,サ・シャ,すな
唆,687,10,7,サ,そそのか:す
差,688,10,4,サ,さ:す
詐,689,12,7,サ,
鎖,690,18,7,サ,くさり
座,691,10,6,ザ,すわ:る
挫,692,10,7,ザ,
才,693,3,2,サイ,
再,694,6,5,サイ・サ,ふたた:び
災,695,7,5,サイ,わざわ:い
妻,696,8,5,サイ,つま
采,697,8,7,サイ,
砕,698,9,7,サイ,くだ:く・くだ:ける
宰,699,10,7,サイ,
栽,700,10,7,サイ,
彩,701,11,7,サイ,いろど:る
採,702,11,5,サイ,と:る
済,703,11,6,サイ,す:む・す:ます
祭,704,11,3,サイ,まつ:る・まつ:り
斎,705,11,7,サイ,
細,706,11,2,サイ,ほそ:い・ほそ:る・こま:か・こま:かい
菜,707,11,4,サイ,な
最,708,12,4,サイ,もっと:も
裁,709,12,6,サイ,た:つ・さば:く
債,710,13,7,サイ,
催,711,13,7,サイ,もよお:す
塞,712,13,7,サイ・ソク,ふさ:ぐ・ふさ:がる
歳,713,13,7,サイ・セイ,
載,714,13,7,サイ,の:せる・の:る
際,715,14,5,サイ,きわ
埼,716,11,4,,さい
在,717,6,5,ザイ,あ:る
材,718,7,4,ザイ,
剤,719,10,7,ザイ,
財,720,10,5,ザイ・サイ,
罪,721,13,5,ザイ,つみ
崎,722,11,4,,さき
作,723,7,2,サク・サ,つく:る
削,724,9,7,サク,けず:る
昨,725,9,4,サク,
柵,726,9,7,サク,
索,727,10,7,サク,
策,728,12,6,サク,
酢,729,12,7,サク・ス,
